step,bt_on_diag,bt_off_diag,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,loss,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.9210517406463623,0.008253903925135057,0.14501246809959412,0.06451833993196487,0.0,34.5999870300293,29639.703125,0.00016560218749839408,86671.8828125,128.0,16384.0,2.0,0.0,1.0,109.8288772730001,0.0,0.0
400,0.992550215870142,0.007519151766179256,0.1541411441937089,0.056326295379549265,0.0,27.18850982427597,28258.59917236328,0.03336884078092641,103358.22559020996,51328.0,6569984.0,802.0,0.0,401.0,1486.618976017,0.0,0.0
800,1.0086855674535036,0.006649656916382174,0.19747456619516016,0.029773770850151777,0.0,10.591087163686753,26063.274143066406,0.08743259688418169,108148.53317646026,102528.0,13123584.0,1602.0,0.0,801.0,2752.324454493,0.0,1.0
1200,1.0116467462852596,0.007338615939565701,0.19780714018270373,0.0321760046412237,0.0,8.287423963546752,27931.77086791992,0.09088472887403203,115371.3461030674,153728.0,19677184.0,2402.0,0.0,1201.0,4023.5751917509997,0.0,1.0
1600,0.9968508517555893,0.00999488824916746,0.21214124489575625,0.02695703487377614,0.0,7.065130491256713,34921.00060913086,0.08641386483070336,118083.09773042201,204928.0,26230784.0,3202.0,0.0,1601.0,5283.350802809,0.0,2.0
2000,1.0139328801259397,0.00654934105552208,0.2430427976883948,0.030320775052532552,0.0,6.309335532188416,25837.729913330077,0.0794663850359338,107960.37235099793,256128.0,32784384.0,4002.0,0.0,2001.0,6543.666872315,0.0,3.0
2400,1.0050470574200154,0.00788814871014228,0.23464778117835522,0.030852943430654704,0.0,6.204989148378372,29348.72214111328,0.07047195934796868,255022.072460289,307328.0,39337984.0,4802.0,0.0,2401.0,7795.793634209001,0.0,3.0
2800,1.0186483392864465,0.006950770947463486,0.26450435805134476,0.03477047678083181,0.0,5.438899083137512,26950.925931396483,0.059986851868973866,164143.68255888938,358528.0,45891584.0,5602.0,0.0,2801.0,9057.765119606,0.0,4.0
3200,1.0069772234000265,0.007704651851258773,0.24258967222645877,0.02972676920471713,0.0,5.400935094356537,28873.340958251953,0.048659518553809865,390728.9925420475,409728.0,52445184.0,6402.0,0.0,3201.0,10327.630209042,0.0,4.0
3600,1.0101973155140878,0.005848662475945633,0.2739183323830366,0.03198855271330103,0.0,5.1270450854301455,23931.5180859375,0.03719050317426197,336171.57473270415,460928.0,58998784.0,7202.0,0.0,3601.0,11596.899794640001,0.0,5.0
4000,1.0129850823432207,0.006838708840333827,0.2537068141810596,0.027217060935217887,0.0,5.1281309413909915,26604.558903808593,0.026289111889962365,371942.5120447254,512128.0,65552384.0,8002.0,0.0,4001.0,12876.625807281998,0.0,6.0
4400,1.0080875881202518,0.007818124781581457,0.290907940287143,0.031373066301457586,0.0,4.775253620147705,29186.18680419922,0.016629545905689377,307599.6916580391,563328.0,72105984.0,8802.0,0.0,4401.0,14145.172871136001,0.0,6.0
4800,0.9954247815813869,0.00921048168895135,0.2868690653890371,0.029299438244197517,0.0,4.69366469681263,32809.58112548828,0.008809205209609127,438548.80602378846,614528.0,78659584.0,9602.0,0.0,4801.0,15411.723836538,0.0,7.0
5200,1.0010669849067926,0.0042781411848845366,0.29662608217447994,0.031167254656320437,0.0,4.612258931994438,19652.67514526367,0.0033117421155935472,332691.8879575348,665728.0,85213184.0,10402.0,0.0,5201.0,16682.784190031,0.0,7.0
