step,loss,ema_momentum,pred_std_mean,pred_std_min,pred_dead_dims,pred_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,2.0027894973754883,0.9901174306869507,0.3520534932613373,0.22269566357135773,0.0,63.784210205078125,5.146652424893914e-05,6.36647367477417,128.0,32768.0,2.0,2.0,1.0,104.40189303000005,0.0,0.0
400,1.0167754881083966,0.9901586674153805,0.39302413567900657,0.1326115383207798,0.0,43.223441696166994,0.010370504636161237,1.574205764606595,51328.0,13139968.0,802.0,802.0,401.0,1026.629216371,0.0,0.0
800,0.8251682615280151,0.9904041512310505,0.7054120507091284,0.12764668894931674,0.0,22.00714651584625,0.02717265958658363,0.6516398093104363,102528.0,26247168.0,1602.0,1602.0,801.0,1923.946088227,0.0,1.0
1200,0.5654863089323043,0.9908831222355365,1.1853013272583484,0.20527131717652083,0.0,13.696587648391723,0.02824552726695708,0.9285289221256972,153728.0,39354368.0,2402.0,2402.0,1201.0,2820.26067126,0.0,1.0
1600,0.40686471469700336,0.9915715470910073,1.4523366940021516,0.2888426214456558,0.0,11.349565954208375,0.026856053877893835,1.0270042489469051,204928.0,52461568.0,3202.0,3202.0,1601.0,3713.0189161340004,0.0,2.0
2000,0.32811337858438494,0.9924348947405816,1.5899541428685189,0.36532451294362545,0.0,11.065536806583404,0.02469688772962063,1.0576186241209506,256128.0,65568768.0,4002.0,4002.0,2001.0,4609.101594444,0.0,3.0
2400,0.2794784512370825,0.9934298610687256,1.6524524953961373,0.4029358723759651,0.0,11.3727019572258,0.021901563375711208,1.1035892029106618,307328.0,78675968.0,4802.0,4802.0,2401.0,5500.354876037,0.0,3.0
2800,0.24294574074447156,0.9945065343379974,1.6787401089072227,0.40592588104307653,0.0,11.606169261932372,0.01864295884595126,1.0454477714002133,358528.0,91783168.0,5602.0,5602.0,2801.0,6392.535085315,0.0,4.0
3200,0.2208945533633232,0.9956109046936035,1.6817363160848617,0.4338431505858898,0.0,11.91126531124115,0.015122603930673613,1.0399330371618272,409728.0,104890368.0,6402.0,6402.0,3201.0,7288.675174184,0.0,4.0
3600,0.2056741438806057,0.9966875801980496,1.6669775795936586,0.4205970697104931,0.0,12.275190114974976,0.011558216484712582,1.0043212889134885,460928.0,117997568.0,7202.0,7202.0,3601.0,8182.171295505,0.0,5.0
4000,0.19708021402359008,0.9976825441420079,1.6489107078313827,0.4160584554821253,0.0,12.556027252674102,0.008170237573588469,0.9930550532788038,512128.0,131104768.0,8002.0,8002.0,4001.0,9078.582531827002,0.0,6.0
4400,0.1893229365721345,0.9985458932816982,1.6335564741492272,0.4030031470954418,0.0,12.77634505033493,0.005168198201562463,0.9582404002547265,563328.0,144211968.0,8802.0,8802.0,4401.0,9980.184268539,0.0,6.0
4800,0.18670228615403175,0.9992343187332153,1.6206304416060449,0.3952968509495258,0.0,12.915735154151916,0.002737760777094963,0.9399419112503529,614528.0,157319168.0,9602.0,9602.0,4801.0,10894.936127172,0.0,7.0
5200,0.18543292030692102,0.9997132880985737,1.6141796323657036,0.39292413733899595,0.0,12.991815214157105,0.0010292367418158726,0.9179693155735731,665728.0,170426368.0,10402.0,10402.0,5201.0,11806.402743267001,0.0,7.0
