step,loss,ema_momentum,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,tgt_std_mean,tgt_std_min,tgt_dead_dims,tgt_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.5688230395317078,0.9990000128746033,0.27852126955986023,0.16845865547657013,0.0,49.24032974243164,0.5482367277145386,0.16289448738098145,0.0,59.12335968017578,9.481561524307721e-08,2.8504912853240967,128.0,16384.0,1.0,1.0,1.0,4.670080847999998,0.0,0.0
400,0.25694171864539384,0.9995838701725006,0.17898292023688556,0.10311865530908108,0.0,50.10856266975403,0.5515539808571339,0.16438509833067655,0.0,58.967591552734376,1.9105346471480057e-05,0.4552055540075526,51328.0,6569984.0,401.0,401.0,401.0,590.895718756,0.0,0.0
800,0.19591696940362455,0.9998999834060669,0.21467839170247316,0.10393485469743609,0.0,48.49196032524109,0.5531910146772862,0.16597567465156315,0.0,59.010418815612795,5.005957705693973e-05,0.04525569541845471,102528.0,13123584.0,801.0,801.0,801.0,1190.4383393050002,0.0,1.0
1200,0.1946645874157548,0.9998999834060669,0.24930947709828616,0.12243320377543569,0.0,46.58492052078247,0.5555646476149559,0.1686657451838255,0.0,58.9347642993927,5.2036096953581456e-05,0.04632192189805209,153728.0,19677184.0,1201.0,1201.0,1201.0,1789.5641256850004,0.0,1.0
1600,0.19541630644351243,0.9998999834060669,0.25556488484144213,0.14533837523311377,0.0,45.92410346984863,0.5581914146244525,0.17042748879641295,0.0,58.8133251953125,4.9476301510417665e-05,0.04340135608334094,204928.0,26230784.0,1601.0,1601.0,1601.0,2373.268655909,0.0,2.0
2000,0.1966300243139267,0.9998999834060669,0.2557179094851017,0.1470955953747034,0.0,45.729670486450196,0.5607042802870273,0.17152485944330692,0.0,58.714299535751344,4.549851848061121e-05,0.03804076939821243,256128.0,32784384.0,2001.0,2001.0,2001.0,2996.1338562909996,0.0,3.0
2400,0.19777470521628857,0.9998999834060669,0.2546039230749011,0.14616458892822265,0.0,45.475687685012815,0.5628351132571697,0.1722755166515708,0.0,58.55367292404175,4.0348755556309155e-05,0.036141028394922614,307328.0,39337984.0,2401.0,2401.0,2401.0,3586.8480742790007,0.0,3.0
2800,0.1989836736768484,0.9998999834060669,0.2532363320887089,0.1443896696344018,0.0,45.23167483329773,0.5651087771356106,0.173380565084517,0.0,58.45534044265747,3.434550202730415e-05,0.03261990371160209,358528.0,45891584.0,2801.0,2801.0,2801.0,4170.157962135,0.0,4.0
3200,0.20006442215293646,0.9998999834060669,0.2516648917645216,0.14119436664506793,0.0,44.97131916046143,0.5670153273642063,0.174005092009902,0.0,58.36259936332703,2.7860031674739557e-05,0.03049983426462859,409728.0,52445184.0,3201.0,3201.0,3201.0,4750.169583823,0.0,4.0
3600,0.20090938497334718,0.9998999834060669,0.24988958105444908,0.13956345103681086,0.0,44.91595490455627,0.5685315164923668,0.17424961276352405,0.0,58.16632335662842,2.129344118537966e-05,0.02715143661946058,460928.0,58998784.0,3601.0,3601.0,3601.0,5317.2977688910005,0.0,5.0
4000,0.2017975316569209,0.9998999834060669,0.24855858739465475,0.13791798137128353,0.0,44.82079741477966,0.5701108674705029,0.17445560812950134,0.0,58.04441195487976,1.5051844155531159e-05,0.024463845414575188,512128.0,65552384.0,4001.0,4001.0,4001.0,5913.154676309,0.0,6.0
4400,0.20247739903628825,0.9998999834060669,0.24769985157996416,0.13691591857001184,0.0,44.7372802734375,0.571319658011198,0.17444548819214106,0.0,57.925780353546145,9.521254822048923e-06,0.02284339875681326,563328.0,72105984.0,4401.0,4401.0,4401.0,6506.061107024,0.0,6.0
4800,0.2031101954355836,0.9998999834060669,0.24701034877449274,0.1360892420820892,0.0,44.667926235198976,0.5724488992989063,0.17423070952296257,0.0,57.77711792945862,5.0437148468205474e-06,0.019400281871203334,614528.0,78659584.0,4801.0,4801.0,4801.0,7094.860642365001,0.0,7.0
5200,0.2036502955853939,0.9998999834060669,0.24688130300492048,0.13615337040275335,0.0,44.718124570846555,0.573557820469141,0.1746028308942914,0.0,57.65074252128601,1.8961396039497178e-06,0.017340174696873874,665728.0,85213184.0,5201.0,5201.0,5201.0,7706.151376164001,0.0,7.0
