step,loss,ema_momentum,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,tgt_std_mean,tgt_std_min,tgt_dead_dims,tgt_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.529914379119873,0.9959999918937683,0.22450877726078033,0.10089230537414551,0.0,45.346229553222656,0.5535621047019958,0.1743660271167755,0.0,64.37321472167969,1.1110616842285723e-07,1.0027697086334229,128.0,10669.0,0.3023071942593797,1.0,1.0,2.0022313939989544,0.0,0.0
400,0.2036740373354405,0.9960166858136654,0.15688034804537893,0.07886043183505535,0.0,42.961415910720824,0.5206245663017035,0.17302647303789853,0.0,64.25984447479249,2.2387892937205735e-05,0.3179503973014653,51328.0,4278269.0,121.22518489801196,401.0,401.0,441.84180081500017,0.0,0.0
800,0.013101900990586729,0.9961160473525524,0.0962919600866735,0.04936409915797412,0.0,42.03421946525574,0.34009942784905434,0.11490086123347282,0.0,62.94492188453674,5.866046204948756e-05,0.044707078603096306,102528.0,8545869.0,242.14806260176573,801.0,801.0,875.745044362,0.0,1.0
1200,0.0046835302887484435,0.996309912353754,0.0875131369009614,0.04516594371758401,0.0,41.84202845573425,0.2610487200692296,0.0910489273443818,0.0,61.19226861000061,6.0976573714896405e-05,0.027276400765404104,153728.0,12813469.0,363.07094030550945,1201.0,1201.0,1310.2190731110004,0.0,1.0
1600,0.004314128331025131,0.9965885543823242,0.09260409384965897,0.0472602610476315,0.0,41.62097658157349,0.24806044962257146,0.08911548931151629,0.0,60.666020441055295,5.797697219454465e-05,0.023051274672616272,204928.0,17081069.0,483.99381800925187,1601.0,1601.0,1787.26351402,0.0,2.0
2000,0.005632944805547595,0.9969379980862141,0.11736080389469862,0.05643491996452212,0.0,40.61344731330872,0.26353836808353664,0.09724902765825391,0.0,61.06734516143799,5.331575441806102e-05,0.028906929625663907,256128.0,21348669.0,604.9166957129943,2001.0,2001.0,2243.7702733409988,0.0,3.0
2400,0.0077100385236553845,0.9973407165706157,0.15433226931840183,0.0631259538885206,0.0,39.95244246482849,0.29565083131194114,0.11393049538135529,0.0,62.44405453681946,4.728119539169789e-05,0.04425428898539394,307328.0,25616269.0,725.8395734167367,2401.0,2401.0,2674.541328228999,0.0,3.0
2800,0.009061866719275714,0.9977765002846718,0.1974123449623585,0.06901510554365814,0.0,39.13405067443848,0.3238597245514393,0.12996595092117785,0.0,64.38097639083863,4.024650499846717e-05,0.04933509740978479,358528.0,29883869.0,846.7624511204791,2801.0,2801.0,3103.420529883999,0.0,4.0
3200,0.009858532892540097,0.9982234984636307,0.23166399609297514,0.08736287340521813,0.0,39.228328142166134,0.3474666699767113,0.14546632278710603,0.0,65.67059595108032,3.264674667336249e-05,0.05181148100178689,409728.0,34151469.0,967.6853288242215,3201.0,3201.0,3532.727722873,0.0,4.0
3600,0.010987007967196405,0.9986592854559422,0.2565507912263274,0.10545551190152765,0.0,40.84481981277466,0.3772352714091539,0.1591843993216753,0.0,66.3610389137268,2.4951930719214875e-05,0.05337157378904522,460928.0,38419069.0,1088.608206527964,3601.0,3601.0,3962.515647747001,0.0,5.0
4000,0.012271295895334332,0.9990620018541813,0.27574186481535434,0.12315881198272109,0.0,41.707909688949584,0.4077006424218416,0.1703068681433797,0.0,67.02740195274353,1.7637946318564316e-05,0.05323199023958296,512128.0,42686669.0,1209.5310842317065,4001.0,4001.0,4394.561167420001,0.0,6.0
4400,0.013229708194267005,0.9994114437699317,0.2934349252283573,0.13810183165594936,0.0,42.166015815734866,0.4314450767636299,0.18086288422346114,0.0,67.4594098854065,1.1157129963703404e-05,0.0531568250618875,563328.0,46954269.0,1330.453961935449,4401.0,4401.0,4832.874253997001,0.0,6.0
4800,0.013867951610591263,0.9996900881826878,0.301081650108099,0.14629988512024283,0.0,42.71866180419922,0.44522681429982186,0.18729774035513402,0.0,67.7923034286499,5.910290512918714e-06,0.043344500134699045,614528.0,51221869.0,1451.3768396391913,4801.0,4801.0,5276.225953231999,0.0,7.0
5200,0.014209698329214007,0.9998839516937733,0.3047697126120329,0.14841097824275493,0.0,43.05635641098022,0.45197062388062476,0.18863495778292416,0.0,67.93621105194092,2.2219209952874227e-06,0.038786686998791994,665728.0,55489469.0,1572.2997173429337,5201.0,5201.0,5720.236028108,0.0,7.0
