step,masked_frac,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,loss,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.59375,0.1928652971982956,0.1007145345211029,0.0,54.34718322753906,0.7801566123962402,1.2418661054582898e-06,3.4429233074188232,128.0,3357.0,0.4097788425977851,0.0,1.0,2.2235696379993897,0.0,0.0
400,0.59375,0.2652595452219248,0.11356340968050063,0.0,46.93892210006714,0.482251208499074,0.0002502360202498454,0.34738379541784525,51328.0,1346157.0,164.32131588171154,0.0,401.0,324.2153880859996,0.0,0.0
800,0.59375,0.30285231985151767,0.14241196671500803,0.0,49.99973680496216,0.3551128152757883,0.0006556651226827314,0.22232347629964352,102528.0,2688957.0,328.23285292082613,0.0,801.0,652.986670063,0.0,1.0
1200,0.59375,0.3201705373078585,0.1521657681465149,0.0,52.78445238113403,0.33119162619113923,0.0006815529794467316,0.16520371282473206,153728.0,4031757.0,492.1443899599471,0.0,1201.0,980.670780636,0.0,1.0
1600,0.59375,0.3250588538497686,0.15803686920553445,0.0,53.338709411621096,0.3237696209549904,0.0006480255568842994,0.156335718203336,204928.0,5374557.0,656.055926999068,0.0,1601.0,1306.0711257960002,0.0,2.0
2000,0.59375,0.3293686851114035,0.14795444056391716,0.0,54.7469602394104,0.3198643656075001,0.0005959257639660162,0.15777938341721892,256128.0,6717357.0,819.967464038189,0.0,2001.0,1627.1002665239994,0.0,3.0
2400,0.59375,0.3324483104795217,0.1484080108255148,0.0,55.56008064270019,0.31555363729596136,0.0005284757346597581,0.15215139908716083,307328.0,8060157.0,983.8790010773099,0.0,2401.0,1946.115725021,0.0,3.0
2800,0.59375,0.34188678339123724,0.13838151473551988,0.0,55.31637084960938,0.31297211661934854,0.00044984694486567897,0.14518335860222578,358528.0,9402957.0,1147.7905381163964,0.0,2801.0,2269.2308463599993,0.0,4.0
3200,0.59375,0.3521807799488306,0.14281234357506037,0.0,55.15921695709228,0.3100980293750763,0.00036490222570569145,0.1326808887720108,409728.0,10745757.0,1311.702075155472,0.0,3201.0,2588.69319239,0.0,4.0
3600,0.59375,0.36081358037889005,0.15175130676478146,0.0,55.151463470458985,0.3078527255356312,0.0002788950196536673,0.13187709037214518,460928.0,12088557.0,1475.6136121945474,0.0,3601.0,2909.7119948519994,0.0,5.0
4000,0.59375,0.3690179567039013,0.16533274631947278,0.0,55.062926330566405,0.3048821056634188,0.00019714447913957264,0.12473814571276307,512128.0,13431357.0,1639.5251492336229,0.0,4001.0,3231.7238835179996,0.0,6.0
4400,0.59375,0.37785539381206035,0.1679223446547985,0.0,54.78926833152771,0.3039902614802122,0.000124706501293279,0.12112645922228694,563328.0,14774157.0,1803.4366862726984,0.0,4401.0,3548.8559061349997,0.0,6.0
4800,0.59375,0.38607522010803225,0.17478843692690135,0.0,54.513804264068604,0.30180663384497164,6.606104382495711e-05,0.1152144824899733,614528.0,16116957.0,1967.3482233117738,0.0,4801.0,3872.8523536189996,0.0,7.0
5200,0.59375,0.39170262530446054,0.18000649865716695,0.0,54.37087142944336,0.3008328191936016,2.4835060125122087e-05,0.1073570865392685,665728.0,17459757.0,2131.2597603508957,0.0,5201.0,4194.97628389,0.0,7.0
