step,loss,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.0,0.2976244390010834,0.12440112233161926,0.0,32.950801849365234,8.928571428571428e-07,0.0,128.0,8192.0,1.0,0.0,1.0,112.53478698700002,0.0,0.0
400,0.0,0.2719014525786042,0.12367088034749031,0.0,32.67489748001098,0.00017991071428571437,0.0,51328.0,3284992.0,401.0,0.0,401.0,357.07217299999996,0.0,0.0
800,0.0,0.2719325665384531,0.12395435219630599,0.0,32.60911348819732,0.0004713996827327406,0.0,102528.0,6561792.0,801.0,0.0,801.0,604.8530225280001,0.0,1.0
1200,0.0,0.27415806490927935,0.1258394943550229,0.0,32.614267091751096,0.0004900121222891526,0.0,153728.0,9838592.0,1201.0,0.0,1201.0,857.115616323,0.0,1.0
1600,0.0,0.27231315575540066,0.12500704474747182,0.0,32.724893722534176,0.0004659071092085269,0.0,204928.0,13115392.0,1601.0,0.0,1601.0,1102.464778814,0.0,2.0
2000,0.0,0.27275390341877936,0.12461328338831663,0.0,32.69651216506958,0.00042844922864957585,0.0,256128.0,16392192.0,2001.0,0.0,2001.0,1343.6968283,0.0,3.0
2400,0.0,0.2726477422937751,0.12423340290784836,0.0,32.675651235580446,0.00037995507925028013,0.0,307328.0,19668992.0,2401.0,0.0,2401.0,1587.2221486130002,0.0,3.0
2800,0.0,0.27272071089595556,0.12468160020187496,0.0,32.64994317054749,0.00032342380241351637,0.0,358528.0,22945792.0,2801.0,0.0,2801.0,1831.943781803,0.0,4.0
3200,0.0,0.27261485029011967,0.12471866039559246,0.0,32.68062916755676,0.0002623515991247407,0.0,409728.0,26222592.0,3201.0,0.0,3201.0,2079.520588344,0.0,4.0
3600,0.0,0.27449636153876783,0.1250056560896337,0.0,32.55017088890076,0.0002005155059072699,0.0,460928.0,29499392.0,3601.0,0.0,3601.0,2319.695208821,0.0,5.0
4000,0.0,0.2721753152832389,0.12394380822777748,0.0,32.63936727523804,0.00014173980238365598,0.0,512128.0,32776192.0,4001.0,0.0,4001.0,2570.851467586,0.0,6.0
4400,0.0,0.27299403298646213,0.12495185310021042,0.0,32.63753776073456,8.965949706738933e-05,0.0,563328.0,36052992.0,4401.0,0.0,4401.0,2813.421749396,0.0,6.0
4800,0.0,0.27255619049072266,0.12478861240670085,0.0,32.68591746807098,4.749551870726429e-05,0.0,614528.0,39329792.0,4801.0,0.0,4801.0,3062.05246456,0.0,7.0
5200,0.0,0.27379750229418276,0.12446935893967748,0.0,32.61595139026642,1.7855516571827883e-05,0.0,665728.0,42606592.0,5201.0,0.0,5201.0,3309.096866157,0.0,7.0
