step,contrastive_acc,pos_sim,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,loss,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.0078125,0.4184507131576538,0.2969246208667755,0.11680357158184052,0.0,33.05350875854492,8.904189109802246,4.740588131926443e-05,47.289955139160156,128.0,16384.0,2.0,0.0,1.0,5.716072557999723,0.0,0.0
400,0.02232421875,0.6875672143697739,0.2970270040258765,0.14459172973409296,0.0,35.74440392494202,5.927247323989868,0.009552285085831785,22.70719670057297,51328.0,6569984.0,802.0,0.0,401.0,988.653671125001,0.0,0.0
800,0.056259765625,0.816410344094038,0.3008840949833393,0.17007991909980774,0.0,45.003639402389524,4.323056688904762,0.025028771503195272,16.58154179096222,102528.0,13123584.0,1602.0,0.0,801.0,1972.4947542360005,0.0,1.0
1200,0.280478515625,0.7655501118302346,0.3567862525582314,0.1989101554080844,0.0,53.29214309692383,3.0922005170583726,0.026016991295949324,27.284915149211884,153728.0,19677184.0,2402.0,0.0,1201.0,2959.0198638990005,0.0,1.0
1600,0.695615234375,0.7354473543167114,0.40554463796317575,0.2283799022436142,0.0,55.850533170700075,1.394770623743534,0.024737145579933936,33.64374126434326,204928.0,26230784.0,3202.0,0.0,1601.0,3961.1955639099997,0.0,2.0
2000,0.846103515625,0.7669543613493442,0.39700824916362765,0.21722971115261316,0.0,55.73368100166321,0.7848840305954218,0.022748334878855258,27.507164914608,256128.0,32784384.0,4002.0,0.0,2001.0,4954.438400227,0.0,3.0
2400,0.916298828125,0.7962135995924473,0.40690277956426146,0.2263094989582896,0.0,55.24967148780823,0.4801390193775296,0.02017355804082138,20.713810546398165,307328.0,39337984.0,4802.0,0.0,2401.0,5909.382319647,0.0,3.0
2800,0.948076171875,0.8193955878913403,0.41131380409002305,0.2307422561571002,0.0,54.323353338241574,0.33619462508708237,0.017172053240205234,16.26283692598343,358528.0,45891584.0,5602.0,0.0,2801.0,6901.5101684910005,0.0,4.0
3200,0.963779296875,0.8338227927684784,0.41767893843352794,0.23321107115596532,0.0,53.50789190292358,0.26260402347892525,0.013929449824669909,13.496645542383193,409728.0,52445184.0,6402.0,0.0,3201.0,7899.476663417001,0.0,4.0
3600,0.972392578125,0.8430037012696266,0.42539744518697264,0.2381647941470146,0.0,52.69466826438904,0.22186696629971267,0.010646287988797774,11.479768455028534,460928.0,58998784.0,7202.0,0.0,3601.0,8866.224375719,0.0,5.0
4000,0.9771875,0.8499547928571701,0.42989758260548117,0.2394832870736718,0.0,52.17553007125854,0.19385870426893234,0.007525616280017456,10.37285306572914,512128.0,65552384.0,8002.0,0.0,4001.0,9852.082063957001,0.0,6.0
4400,0.979619140625,0.8534185218811036,0.43225326754152776,0.23842523250728845,0.0,51.90108715057373,0.18017589088529348,0.004760433974376192,9.786409865617753,563328.0,72105984.0,8802.0,0.0,4401.0,10843.257617446001,0.0,6.0
4800,0.9815234375,0.8566605260968209,0.43495949283242225,0.24108558226376772,0.0,51.6618256855011,0.17008965028449893,0.002521754953797489,9.417882678508759,614528.0,78659584.0,9602.0,0.0,4801.0,11804.87710555,0.0,7.0
5200,0.982216796875,0.8571677339076996,0.43894386522471907,0.241489176787436,0.0,51.57185788154602,0.16575858583673836,0.0009480312794380198,9.08758292555809,665728.0,85213184.0,10402.0,0.0,5201.0,12794.756647175,0.0,7.0
