step,loss,proj_std_mean,proj_std_min,proj_dead_dims,proj_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,1.9750034809112549,0.34174206852912903,0.17805157601833344,0.0,61.70912170410156,1.1402786020226995e-05,1.564571499824524,128.0,16384.0,2.0,0.0,1.0,2.5141666140007146,0.0,0.0
400,0.8182664735615254,0.36966084368526936,0.14862720508128405,0.0,43.42489099025726,0.002297661383075739,0.31206598322838547,51328.0,6569984.0,802.0,0.0,401.0,617.661371680002,0.0,0.0
800,0.7710884952545166,0.4065917878597975,0.14437158171087502,0.0,30.300129570960998,0.0060203020776688565,0.11781545124948024,102528.0,13123584.0,1602.0,0.0,801.0,1232.2475518300016,0.0,1.0
1200,0.8057993467152119,0.4264870276302099,0.14132178217172622,0.0,26.798807983398437,0.006258003783114169,0.0991910876519978,153728.0,19677184.0,2402.0,0.0,1201.0,1848.458861492003,0.0,1.0
1600,0.8274116414785385,0.4374777416139841,0.13772963801398874,0.0,25.2098325586319,0.005950155760200243,0.09427924335934222,204928.0,26230784.0,3202.0,0.0,1601.0,2468.4158865930003,0.0,2.0
2000,0.8453143651783467,0.44266090996563434,0.13667639395222067,0.0,25.071672163009644,0.005471776659801118,0.09117762293666601,256128.0,32784384.0,4002.0,0.0,2001.0,3088.2283729500014,0.0,3.0
2400,0.7989211386442184,0.43333944655954837,0.14735092280432582,0.0,32.142879338264464,0.004852452041908055,0.2077947784587741,307328.0,39337984.0,4802.0,0.0,2401.0,3702.1107685840034,0.0,3.0
2800,0.43455770663917065,0.4576326057314873,0.13326301746070385,0.0,31.832303838729857,0.004130484302301841,0.7262564720958471,358528.0,45891584.0,5602.0,0.0,2801.0,4314.998349512003,0.0,4.0
3200,0.3434320907667279,0.4478595318645239,0.12788674537092448,0.0,32.97275520324707,0.0033505238445098455,1.351328972093761,409728.0,52445184.0,6402.0,0.0,3201.0,4924.544735563002,0.0,4.0
3600,0.268523685708642,0.4635108411312103,0.12027716876938939,0.0,30.839981236457824,0.002560807656509943,1.1170392563194036,460928.0,58998784.0,7202.0,0.0,3601.0,5529.800074056002,0.0,5.0
4000,0.2538232712075114,0.4511752587556839,0.11647652929648757,0.0,32.59324556827545,0.0018101760735856995,1.0622330735623837,512128.0,65552384.0,8002.0,0.0,4001.0,6144.518219304002,0.0,6.0
4400,0.22726260419934988,0.44755299992859365,0.11325433887541295,0.0,32.17504912376404,0.0011450522269094846,1.0567289558053017,563328.0,72105984.0,8802.0,0.0,4401.0,6766.5261636230025,0.0,6.0
4800,0.22377444967627524,0.44661139242351056,0.1141785374097526,0.0,32.57709170818329,0.0006065709851472582,1.0477157678082585,614528.0,78659584.0,9602.0,0.0,4801.0,7384.647589072003,0.0,7.0
5200,0.22181971181184054,0.45812918439507483,0.11443562399595976,0.0,31.90530372619629,0.00022803495091907073,1.129995188191533,665728.0,85213184.0,10402.0,0.0,5201.0,8002.937123664,0.0,7.0
