step,n_valid_anchors,mean_positives,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,loss,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,1.0,16.6875,0.2774851620197296,0.12349651753902435,0.0,33.325706481933594,11.873642921447754,0.0006127488695967414,68.96524047851562,128.0,16384.0,2.0,0.0,1.0,3.440217488999224,0.0,0.0
400,1.0,16.826640625,0.2640815454721451,0.09897347459569573,0.0,27.434481625556945,5.92577859044075,0.12346889722374339,6.445947314351797,51328.0,6569984.0,802.0,0.0,401.0,597.173712195,0.0,0.0
800,1.0,16.89125,0.23497995566576718,0.09508641658350825,0.0,33.192528562545775,5.422394115924835,0.32351157744947934,3.6541311976313593,102528.0,13123584.0,1602.0,0.0,801.0,1188.0258410199995,0.0,1.0
1200,1.0,16.837578125,0.2777181933447719,0.09519136365503073,0.0,28.346332721710205,5.313216104507446,0.3362848989039439,5.23867832005024,153728.0,19677184.0,2402.0,0.0,1201.0,1780.002994378,0.0,1.0
1600,1.0,16.80671875,0.3173021308332682,0.10235184824094176,0.0,26.172803502082825,5.224693071842194,0.31974214104516363,6.7780003708600995,204928.0,26230784.0,3202.0,0.0,1601.0,2363.578132857,0.0,2.0
2000,1.0,16.893515625,0.3290029352903366,0.10998787578195333,0.0,26.626987137794494,5.135203393697739,0.2940355941987785,7.394297155141831,256128.0,32784384.0,4002.0,0.0,2001.0,2942.571104082999,0.0,3.0
2400,1.0,16.84765625,0.3509999179840088,0.11705505222082138,0.0,27.652887244224548,5.080904537439347,0.26075509074512754,7.7920641160011295,307328.0,39337984.0,4802.0,0.0,2401.0,3515.117067608,0.0,3.0
2800,1.0,16.8846875,0.37005635276436805,0.12487034428864717,0.0,29.817313714027406,5.012470738887787,0.22195887764910946,7.98427090883255,358528.0,45891584.0,5602.0,0.0,2801.0,4084.924091621,0.0,4.0
3200,1.0,16.8190625,0.3885056997090578,0.1447741392813623,0.0,32.04339929103851,4.94887729048729,0.18004632329665207,8.228789483308793,409728.0,52445184.0,6402.0,0.0,3201.0,4652.31520221,0.0,4.0
3600,1.0,16.84921875,0.3961785077303648,0.1386009502597153,0.0,33.403845596313474,4.891411497592926,0.1376095275310543,8.85619127869606,460928.0,58998784.0,7202.0,0.0,3601.0,5223.521169772001,0.0,5.0
4000,1.0,16.884921875,0.39405559077858926,0.14270947037264706,0.0,34.74960046768189,4.840872166156768,0.09727301212994487,9.08689955353737,512128.0,65552384.0,8002.0,0.0,4001.0,5791.9391478729995,0.0,6.0
4400,1.0,16.85703125,0.40143265180289744,0.1459968955256045,0.0,35.61391463279724,4.803207535743713,0.06153140613385384,9.380924978256225,563328.0,72105984.0,8802.0,0.0,4401.0,6365.069772617,0.0,6.0
4800,1.0,16.907421875,0.4111398945748806,0.14856204940006137,0.0,36.108695583343504,4.769379216432571,0.03259516444664159,9.347719798088074,614528.0,78659584.0,9602.0,0.0,4801.0,6935.0828705700005,0.0,7.0
5200,1.0,16.8884375,0.41435708321630954,0.15165158485993743,0.0,36.35737120628357,4.754626846313476,0.01225386130690782,9.476383645534515,665728.0,85213184.0,10402.0,0.0,5201.0,7507.275142532999,0.0,7.0
