step,loss,ema_momentum,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,tgt_std_mean,tgt_std_min,tgt_dead_dims,tgt_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.5447686910629272,0.9959999918937683,0.1593046635389328,0.08209855854511261,0.0,37.05162048339844,0.44633933901786804,0.15080802142620087,0.0,56.049652099609375,2.596809887454188e-07,1.2073765993118286,128.0,12920.0,0.5772072811661509,1.0,1.0,98.47980221799997,0.0,0.0
400,0.1348219777131453,0.9960166858136654,0.10895700566470623,0.04973806966096163,0.0,34.281742010116574,0.4272923708707094,0.14809815663844347,0.0,55.334524421691896,5.232571923220189e-05,0.28872582397423685,51328.0,5180920.0,231.4601197476272,401.0,401.0,733.6837412169999,0.0,0.0
800,0.00922503967420198,0.9961160473525524,0.07239762139506638,0.03451022348366678,0.0,34.28736378192902,0.3215629901736975,0.10955313015729189,0.0,53.57213626861572,0.00013710315999107255,0.05381224287673831,102528.0,10348920.0,462.3430322140783,801.0,801.0,1346.357615126,0.0,1.0
1200,0.006721678210888058,0.996309912353754,0.07194226707331836,0.03724499726668,0.0,35.2674452495575,0.27538798287510874,0.09750109523534775,0.0,52.9598734664917,0.0001425164523028827,0.031190188312903048,153728.0,15516920.0,693.2259446805282,1201.0,1201.0,1958.8752985329998,0.0,1.0
1600,0.00867902715341188,0.9965885543823242,0.11518416358157993,0.050408141016960145,0.0,34.70231589317322,0.29292130589485166,0.110184260122478,0.0,54.31702206611633,0.0001355056850367249,0.03567743162624538,204928.0,20684920.0,924.108857146978,1601.0,1601.0,2582.938623521,0.0,2.0
2000,0.016051748148165644,0.9969379980862141,0.2875458668917418,0.07961214021779597,0.0,27.817296776771546,0.3679076977074146,0.13609818117693068,0.0,56.46900615692139,0.00012461133364168611,0.056527498490177096,256128.0,25852920.0,1154.9917696134537,2001.0,2001.0,3202.2657934979998,0.0,3.0
2400,0.029579737782478334,0.9973407165706157,0.4760016803443432,0.1335491036809981,0.0,25.126900248527527,0.502180985212326,0.1723911103606224,0.0,56.3128209400177,0.00011050716393758351,0.08916237681172788,307328.0,31020920.0,1385.874682079949,2401.0,2401.0,3821.8971037969995,0.0,3.0
2800,0.04371176455169916,0.9977765002846718,0.5473870354890823,0.14269940461963415,0.0,27.332444911003112,0.6118239510059357,0.24288883909583092,0.0,57.04222093582153,9.406545432989023e-05,0.10609221332706512,358528.0,36188920.0,1616.7575945464444,2801.0,2801.0,4434.482445452,0.0,4.0
3200,0.05812513663433492,0.9982234984636307,0.5902814827859402,0.15599970083683729,0.0,30.492464075088503,0.6848857405781746,0.3041129579395056,0.0,59.825344219207764,7.6303049378813e-05,0.11738087524659932,409728.0,41356920.0,1847.6405070129397,3201.0,3201.0,5034.490192383,0.0,4.0
3600,0.07040130926296115,0.9986592854559422,0.6058701379597187,0.16638836354017258,0.0,33.48667303562164,0.7254754072427749,0.3298482600599527,0.0,63.015122928619384,5.831847261272224e-05,0.11373379349708557,460928.0,46524920.0,2078.523419479423,3601.0,3601.0,5645.003170466,0.0,5.0
4000,0.07801989125087858,0.9990620018541813,0.6122727251052856,0.18802484694868327,0.0,35.42876648902893,0.7442125464975834,0.34770832024514675,0.0,65.49659203529357,4.122398787087627e-05,0.1031267564650625,512128.0,51692920.0,2309.4063319458273,4001.0,4001.0,6251.750308383,0.0,6.0
4400,0.08210040921345353,0.9994114437699317,0.614844509512186,0.20246214151382447,0.0,36.7700163936615,0.7533213293552399,0.3572104864567518,0.0,67.1179096698761,2.607681087074185e-05,0.0969043582957238,563328.0,56860920.0,2540.2892444122317,4401.0,4401.0,6866.505718011,0.0,6.0
4800,0.08394344596192241,0.9996900881826878,0.612116407006979,0.2136042957007885,0.0,37.558943061828614,0.7581243263185025,0.36291477344930173,0.0,67.9928161239624,1.3813725249944403e-05,0.08765498121269047,614528.0,62028920.0,2771.172156878636,4801.0,4801.0,7524.477688894,0.0,7.0
5200,0.08479856230318546,0.9998839516937733,0.6121197459101677,0.21902672428637743,0.0,37.958436241149904,0.7598100173473358,0.36404788635671137,0.0,68.35672414779663,5.193146781684367e-06,0.0816897715628147,665728.0,67196920.0,3002.0550693450405,5201.0,5201.0,8160.227225037001,0.0,7.0
