step,vicreg_inv,vicreg_var,vicreg_cov,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,loss,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,0.23616400361061096,1.3085622787475586,26.47925567626953,0.14501246809959412,0.06451833993196487,0.0,34.5999870300293,91.900146484375,4.850874480722119e-05,189.37940979003906,128.0,16384.0,2.0,0.0,1.0,9.441661852000834,0.0,0.0
400,0.21449401006102561,1.3303784522414208,8.46830690741539,0.10233571199700237,0.0602179768960923,0.0,52.584425325393674,74.79714452743531,0.009774512078655066,44.03329656124115,51328.0,6569984.0,802.0,0.0,401.0,1774.189107461003,0.0,0.0
800,0.30459716103971,1.1946273639798164,6.162033956050873,0.07633241798728704,0.049916040021926164,0.0,72.82301042556763,66.521917552948,0.02561104774131401,27.28158516407013,102528.0,13123584.0,1602.0,0.0,801.0,3482.356084826002,0.0,1.0
1200,0.36214029110968116,1.1200756841897965,7.361216945648193,0.08132308477535843,0.05261762548238039,0.0,75.86427556991578,64.50059686660767,0.02662225775167769,26.500612363815307,153728.0,19677184.0,2402.0,0.0,1201.0,5171.304067683002,0.0,1.0
1600,0.3913583863526583,1.0835142236948014,8.00693078160286,0.08676827294752001,0.05664607425220311,0.0,77.59699237823486,63.574040269851686,0.02531263735220256,24.50333231449127,204928.0,26230784.0,3202.0,0.0,1601.0,6740.082282941003,0.0,2.0
2000,0.4092642210423946,1.0613214236497879,8.406942123174668,0.0925813078135252,0.06151584075763822,0.0,78.56411993026734,63.02090042114258,0.023277558410862608,21.94319905281067,256128.0,32784384.0,4002.0,0.0,2001.0,8234.304517152003,0.0,3.0
2400,0.4209542877972126,1.0451905366778373,8.708703236579895,0.09836250545457005,0.0660532975383103,0.0,79.16647838592529,62.62040658950806,0.020642881254866477,19.403455121517183,307328.0,39337984.0,4802.0,0.0,2401.0,9711.296928495001,0.0,3.0
2800,0.4281585578620434,1.0342002540826798,8.919390704631805,0.10323509804904461,0.07035480256192386,0.0,79.5802868270874,62.34720771789551,0.017571548619361423,17.90160839796066,358528.0,45891584.0,5602.0,0.0,2801.0,11179.339575107002,0.0,4.0
3200,0.4344181175529957,1.0260446006059647,9.084159741401672,0.10714197425171733,0.07306766510009766,0.0,79.86010520935059,62.15941411972046,0.014253508384313445,16.52666563272476,409728.0,52445184.0,6402.0,0.0,3201.0,12647.035526078002,0.0,4.0
3600,0.43705951429903506,1.02028449177742,9.19628886938095,0.10995348324999213,0.07555483344011009,0.0,80.1799153327942,62.009838285446165,0.010893966166660204,15.494143249988555,460928.0,58998784.0,7202.0,0.0,3601.0,14111.148293788003,0.0,5.0
4000,0.43832848601043223,1.0160834524035454,9.285179960727692,0.11186552494764328,0.07780207156203688,0.0,80.34142406463623,61.903166961669925,0.007700694291197303,14.771558222770691,512128.0,65552384.0,8002.0,0.0,4001.0,15573.867108884002,0.0,6.0
4400,0.4396041850745678,1.0136946949362755,9.333327176570892,0.11320197893306613,0.07906254762783646,0.0,80.40539812088012,61.844069929122924,0.004871182022320084,14.244524433612824,563328.0,72105984.0,8802.0,0.0,4401.0,17013.568793729002,0.0,6.0
4800,0.4398989824205637,1.0120486256480217,9.36946408033371,0.11379995057359338,0.07993401005864144,0.0,80.47384809494018,61.8021365737915,0.002580421756032158,13.893707058429719,614528.0,78659584.0,9602.0,0.0,4801.0,18459.537724324004,0.0,7.0
5200,0.4401134818792343,1.0114647430181503,9.377787020206451,0.11407062949612737,0.07982431000098586,0.0,80.54852714538575,61.78355120658875,0.0009700865403979761,13.601289899349213,665728.0,85213184.0,10402.0,0.0,5201.0,19920.051374266,0.0,7.0
